"日期","X1","year"
"3月25日","-10時10分，總統蔡英文出席「力晶積成電子製造股份有限公司銅鑼廠動土典禮」，苗栗縣銅鑼鄉銅科五路及銅科七路路口旁空地。","2021"
"3月25日","-15時，總統蔡英文出席「國際大屠殺紀念日活動」，台北賓館（台北市中正區凱達格蘭大道1號）。
        二、政黨社團：","2021"
"3月26日","-10時30分，總統蔡英文出席「臺北國際烘焙暨設備展開幕典禮」，南港展覽館1館（臺北市南港區經貿二路1號）。","2021"
"3月26日","-16時，總統蔡英文出席「110年廣播節及廣播商業同業公會理事長交接典禮」，中廣松江大樓12樓（臺北市中山區松江路373號）。","2021"
"3月26日","-10時30分，經濟部長王美花陪同總統蔡英文出席「2021台北國際烘焙暨設備展開幕典禮」，南港展覽館一館4樓。","2021"
"3月28日","-13時10分，總統蔡英文出席「台灣婦女團體全國聯合會20周年感恩餐會」，大直典華會館5樓繁華廳（臺北市中山區植福路8號）。","2021"
"3月28日","-18時30分，總統蔡英文出席「新北市藥師公會第三、四屆理事長交接典禮」，新莊典華會館5樓紫艷盛事廳（新北市新莊區中央路469號）。
	二、政黨社團：","2021"
"3月29日","-10時，總統蔡英文主持「中華民國110年向先祖暨忠烈殉職人員致祭典禮」，忠烈祠（臺北市中山區北安路139號）。","2021"
"3月30日","-16時，總統蔡英文會見「帛琉共和國總統惠恕仁伉儷」，總統府。
        二、政黨社團：","2021"
"3月31日","-15時20分，總統蔡英文出席「110年全國社會工作專業人員表揚頒獎典禮」，台北君悅酒店3樓凱悅廳（臺北市信義區松壽路2號）。","2021"
"4月1日","-13時30分，總統蔡英文出席EMU900型空調通勤電聯車首航典禮，基隆車站南站廣場（基隆市中山區中山一路16之1號）。

二、政黨社團：","2021"
"4月3日","-9時10分，總統蔡英文至國軍花蓮總醫院探視台鐵太魯閣列車事故傷患，國軍花蓮總醫院（花蓮縣新城鄉嘉里村嘉里路163號）。

二、政黨社團：","2021"
"4月9日","-15時25分，總統蔡英文參拜「大甲鎮瀾宮」（大甲鎮瀾宮/臺中市大甲區順天路158號）。
        二、 政黨社團：","2021"
"4月10日","-9時20分，總統蔡英文頒贈空軍烈士羅尚樺少校褒揚令，台東志航基地2號棚廠（台東市志航路三段3號）。

二、政黨社團：","2021"
"4月11日","-15時，總統蔡英文參拜「白沙屯拱天宮」，白沙屯拱天宮（苗栗縣通霄鎮白東里8號）。","2021"
"4月13日","-11時，總統蔡英文出席「海軍新型兩棲船塢運輸艦命名暨下水典禮」，高雄台船。","2021"
"4月13日","-14時，總統蔡英文出席「東京奧運倒數100天宣誓活動」，國家運動訓練中心。","2021"
"4月13日","-10時，國民黨召開「行政院卸責四大謊言 蘇貞昌下台、蔡英文踹共」記者會，中央黨部媒體中心。
	三、國會：","2021"
"4月17日","-10時，總統蔡英文出席「0402臺鐵408次列車事故聯合追思公祭」，臺東市立殯儀館（臺東縣臺東市民航路200巷150號）。","2021"
"4月17日","-18時50分，總統蔡英文出席「2021保生文化祭開鑼式」，大龍峒保安宮（臺北市大同區哈密街61號）。
	二、政黨社團：","2021"
"4月19日","-10時，總統蔡英文接見「第九屆台灣兒童醫療貢獻獎得獎者」，總統府。","2021"
"4月19日","-14時，總統蔡英文頒贈「總統府前資政、考試院前院長許水德褒揚令」，台北市立第一殯儀館景行廳（台北市中山區民權東路二段145號）。
	二、政黨社團：","2021"
"4月20日","-10時，總統蔡英文接受貝里斯新任駐臺特命全權大使碧坎蒂呈遞到任國書，總統府。","2021"
"4月22日","-10時30分，國民黨召開「謝長廷製造假消息 蔡英文還不撤職？警政署還不法辦？」記者會，國民黨中央黨部。
	三、國會：","2021"
"4月22日","-15時，世界地球日環保團體代表向蔡英文總統遞交建言書會前記者會，國發會門口。
	六、體育娛樂：","2021"
"4月23日","-11時30分，總統蔡英文見證「TAYAL泰雅爾Skaru 流域部落群與國家山林治理機關Sbalay和解儀式」，觀霧國家森林遊樂區泰雅爾祖靈紀念廣場（苗栗縣泰安鄉梅園村8鄰觀霧1-3號）。
	二、政黨社團：","2021"
"4月24日","-15時，民進黨主席蔡英文出席「全國高中職國際知識競賽」決賽，張榮發基金會602會議室（台北市中正區中山南路11號）。
	二、國會：","2021"
"4月25日","-10時，總統蔡英文出席「臺中捷運綠線通車典禮」，捷運市政府站（臺中市西屯區文心路二段699號）。","2021"
"4月27日","-10時20分，總統蔡英文出席「新民高中85周年校慶」，新民高中大禮堂（台中市北區健行路111號）。","2021"
"4月27日","-11時15分，總統蔡英文視導「緊急抗旱水源應變計畫」，中央公園（台中市西屯區凱旋路與環中路口）。

二、政黨社團：","2021"
"4月27日","-11時15分，經濟部長王美花陪同總統蔡英文視導「緊急抗旱水源應變計畫」，台中中央公園（台中市西屯區凱旋路與環中路口）。","2021"
"4月27日","-11時，台中市副市長令狐榮達陪同總統蔡英文視察台中抗旱水井工程，台中中央公園（西屯區環中路與凱旋路口）。","2021"
"4月29日","-10時20分，總統蔡英文出席「嘉義級巡防艦首艘嘉義艦交船暨第2艘新竹艦命名下水聯合典禮」，臺船公司高雄廠（高雄市小港區中鋼路3號）。","2021"
"4月29日","-10時20分，經濟部長王美花陪同總統蔡英文出席嘉義級巡防艦首艘嘉義艦交船暨第2艘新竹艦命名下水聯合典禮，台船公司高雄廠區行政大樓及2號碼頭。","2021"
"4月30日","-9時，總統蔡英文出席「松山慈惠堂『2021台北母娘文化季』系列活動—起駕儀式」，松山慈惠堂（台北市信義區福德街251巷33號）。","2021"
"4月30日","-10時，總統蔡英文簽署「勞工職業災害保險及保護法」暨接見「110年度全國模範勞工及其眷屬」，總統府。","2021"
"5月1日","-9時20分，總統蔡英文出席「台南土城正統鹿耳門聖母廟辛丑科土城香禳災祈安香醮」，台南土城正統鹿耳門聖母廟（臺南市安南區城安路160號）。","2021"
"5月1日","-10時40分，總統蔡英文視察「牛結節疹防疫情形」，柳營農會動物用藥門市（臺南市柳營區八翁里108號）。","2021"
"5月3日","-10時，總統蔡英文視察「緊急抗旱水源應變計畫」，國軍羅浮清淤工區（石門水庫蓄水域上游羅浮工區國軍指揮所）。","2021"
"5月3日","-10時，經濟部次長林全能陪同總統蔡英文視察「緊急抗旱水源應變計畫」，石門水庫蓄水域上游羅浮工區國軍指揮所（桃園市復興區羅浮里）。","2021"
"5月4日","-10時，總統蔡英文出席「2021臺灣資安大會開幕典禮」，南港展覽館2館（臺北市南港區經貿二路2號）。","2021"
"5月4日","-11時30分，總統蔡英文接見「2021 GiCS第一屆尋找資安女婕思獲獎隊伍」，總統府。","2021"
"5月4日","-9時30分，國家政策研究基金會召開「蔡英文總統執政五年司法改革成果檢討」記者會，國政基金會101會議室（台北市杭州南路一段16號）。","2021"
"5月4日","-10時，經濟部長王美花陪同總統蔡英文出席「2021台灣資安大會開幕典禮」，南港展覽館2館7樓（Keynote會議室）與4樓。","2021"
"5月6日","-15時30分，總統蔡英文慰勉防疫團隊，衛福部疾管署（台北市中正區林森南路6號）。

二、政黨社團：","2021"
"5月7日","-10時40分，總統蔡英文參訪「台灣國家婦女館」，台灣國家婦女館（台北市中正區杭州南路一段15號糧政大樓9樓）。","2021"
"5月7日","-14時，總統蔡英文出席「110年基隆市全民防衛動員暨災害防救演習」，台灣國際造船公司基隆廠（基隆市中正區和一路224號）。","2021"
"5月7日","-14時，經濟部長王美花陪同總統蔡英文出席「110年基隆市全民防衛動員暨災害防救演習」，台船公司基隆廠（基隆市中正區和一路224號）。","2021"
"5月8日","-9時45分，總統蔡英文出席「青平台基金會『台灣．下一步．永續民主』論壇」，福華國際文教會館2樓卓越堂（台北市大安區新生南路三段30號）。","2021"
"5月8日","-15時，總統蔡英文出席「百年圳流—嘉南大圳開工滿百週年紀念活動」，八田與一紀念園區（台南市官田區嘉南68-2號）。

二、政黨社團：","2021"
"5月10日","-10時，總統蔡英文出席「傅正逝世三十週年新書發表會暨頒獎典禮」，東吳大學第二教學研究大樓松怡廳（臺北市士林區臨溪路70號）。","2021"
"5月11日","-10時，總統蔡英文主持「新任行政院政務人員、國家安全局局長及駐外大使宣誓典禮」，總統府。","2021"
"5月18日","-10時，總統蔡英文視導「嚴重特殊傳染性肺炎中央流行疫情指揮中心」，衛生福利部疾病管制署7樓指揮中心（台北市中正區林森南路6號7樓）。

二、國會：","2021"
"5月27日","-10時，國民黨召開「蔡英文施政總體檢記者會」，國民黨中央黨部。
	三、國會：","2021"
"6月3日","-10時，國民黨召開「換位置換腦袋？蔡英文陳時中疫苗立場自打臉！」記者會，國民黨中央黨部。
	三、國會：","2021"
"6月25日","-10時，總統蔡英文頒授「美國在台協會台北辦事處處長酈英傑『大綬景星勳章』」，總統府。
	二、政黨社團：","2021"
"7月1日","-10時30分，總統蔡英文主持「國軍重要高階幹部授勳暨晉任布達授階典禮」，總統府。
	二、政黨社團：","2021"
"7月6日","-10時，總統蔡英文接受海地共和國新任駐台特命全權大使潘恩呈遞到任國書，總統府。","2021"
"7月12日","-9時30分，總統蔡英文出席「2020東京奧運代表團授旗典禮」。
	二、政黨社團：","2021"
"7月16日","一、府院部會：
	14時30分，總統蔡英文視察「新竹市疫苗施打情形」，新竹市立體育館。
	二、政黨社團：","2021"
"7月30日","-14時30分，總統蔡英文出席「關鍵1991:李登輝與台灣民主元年展覽開幕典禮」，國史館線上講堂直播。
二、政黨社團：","2021"
"7月31日","-9時30分，總統蔡英文頒贈空軍烈士蔣正志少將褒揚令（空軍第五聯隊體育館）。
二、政黨社團：","2021"
"8月10日","-10時，總統蔡英文接見「美國在台協會台北辦事處新任處長孫曉雅」，總統府。","2021"
"8月12日","-10時，總統蔡英文接見「澳洲新任駐台代表露珍怡」，總統府。","2021"
"8月20日","-15時，總統蔡英文出席「2021總統教育獎頒獎典禮」，圓山大飯店12樓大會廳。","2021"
"
8月23日","-7時30分，總統蔡英文接種疫苗，臺大醫學院體育館（臺北市中正區仁愛路一段1號）。","2021"
"
8月23日","-14時，總統蔡英文視導「軍備局生產製造中心」及「空軍防空暨飛彈指揮部」，光華營區。

二、政黨社團：","2021"
"8月27日","-10時，總統蔡英文出席「2021全國義民祭慶祝大典」，褒忠亭義民廟（新竹縣新埔鎮義民路三段360號）。
	二、政黨社團：","2021"
"9月1日","-15時50分，行政院長蘇貞昌陪同總統蔡英文接見2020年東京奧林匹克運動會代表團。","2021"
"9月1日","-16時，總統蔡英文、副總統賴清德出席「Our Heroes！台灣英雄 凱旋派對」，總統府。
	二、政黨社團：","2021"
"9月2日","-15時，總統蔡英文出席「第35屆亞洲暨大洋洲醫師會聯盟大會」，圓山大飯店V樓敦睦廳（台北市中山區中山北路四段1號）。
	二、政黨社團：","2021"
"9月3日","-9時55分，行政院長蘇貞昌陪同總統蔡英文出席「中華民國110年秋祭忠烈殉職人員典禮」，圓山忠烈祠（台北市中山區北安路139號）。","2021"
"9月3日","-9時58分，總統蔡英文出席「中華民國110年秋祭忠烈殉職人員典禮」，圓山忠烈祠（台北市中山區北安路139號）。","2021"
"9月4日","-11時40分，總統蔡英文視察「明霸克露橋便道」，明霸克露橋便道。","2021"
"9月4日","-12時30分，總統蔡英文慰勞第一線同仁：六龜分局桃源分駐所及消防局桃源分隊，六龜分局桃源分駐所。","2021"
"9月4日","-15時40分，總統蔡英文視察「鳳山水資源中心」，高雄市鳳山區保雅路100號。
	二、政黨社團：","2021"
"9月7日","-10時，總統蔡英文主持「新任行政院、考試院、國家安全會議及中央研究院政務人員宣誓典禮」，總統府10時，副總統賴清德出席「新任行政院、考試院、國家安全會議及中央研究院政務人員宣誓典禮」，總統府。","2021"
"9月9日","-10時，總統蔡英文主持「海軍塔江艦成軍暨快速布雷艇交艇典禮」，蘇澳中正基地。","2021"
"9月10日","-9時20分，總統蔡英文視導「空軍防空暨飛彈指揮部」。","2021"
"9月10日","-10時5分，總統蔡英文視導「軍備局生產製造中心」。","2021"
"9月10日","-10時40分，總統蔡英文視導「海軍艦隊指揮部」。","2021"
"9月10日","-14時，總統蔡英文主持「總統府原住民族歷史正義與轉型正義委員會」第16次委員會議。

二、政黨社團：","2021"
"9月14日","-9時30分，總統蔡英文視察「國家太空中心」，國家太空中心（新竹市東區展業一路9號10樓）。","2021"
"9月14日","-11時，總統蔡英文視察「新竹市華德福實驗學校幼兒園」，華德福實驗學校幼兒園（新竹市香山區華德福街168號）。","2021"
"9月14日","-9時30分，總統蔡英文視導國家太空中心，國家太空中心高層廠房10樓（新竹市科學園區展業一路15號）。","2021"
"9月15日","-6時25分，總統蔡英文視導漢光37號演習「佳冬戰備跑道戰機起降」演練，佳冬戰備道。","2021"
"9月16日","-10時，總統蔡英文接見「110年台灣護理典範獎得主暨中華民國護理師護士公會全國聯合會、台灣護理學會理監事」，總統府11時，外交部線上例行記者會。","2021"
"9月17日","-9時45分，總統蔡英文視察「內政部消防署消防訓練中心」，內政部消防署消防訓練中心（南投縣竹山鎮社寮里大公街100號）。","2021"
"9月17日","-9時45分，內政部長徐國勇陪同總統蔡英文視察消防署消防訓練中心，內政部消防署消防訓練中心（南投縣竹山鎮社寮里大公街100號）。","2021"
"9月20日","-10時，總統蔡英文出席「史明文物館」開幕式，史明文物館（新北市新莊區中平路110巷17號3樓）。
二、政黨社團：","2021"
"9月23日","-10時，總統蔡英文接見「第三屆品牌金舶獎得獎企業」，總統府10時，行政院長蘇貞昌就「中央政府嚴重特殊傳染性肺炎防治及紓困振興特別預算第4次追加預算案（109年1月15日111年6月30日）」編製經過報告及備詢，立法院（台北市中山南路1號）。","2021"
"9月24日","-10時，總統蔡英文訪視「國立基隆高中羽球隊」，國立基隆高中（基隆市暖暖區源遠路20號）。","2021"
"9月24日","-10時50分，總統蔡英文視導「基隆港西11號碼頭」，基隆港西11號碼頭（基隆市中山區中山三路西11號碼頭）。","2021"
"9月25日","-10時，民進黨主席蔡英文出席「台灣關鍵年代民進黨的誕生1986-1987」新書發表會，台灣國際會館（台北市南京東路二段125號15樓）。","2021"
"9月26日","-10時10分，總統蔡英文出席「高雄願景館遷移座落儀式」，高雄願景館（高雄市三民區建國二路318號）。
	二、政黨社團","2021"
"9月26日","-9時30分，高雄市長陳其邁與總統蔡英文出席「高雄驛起飛」高雄老車站復位座落儀式，高雄願景館（不開放記者入場，採直播共訊方式辦理）。","2021"
"9月27日","-10時50分，總統蔡英文出席110年師鐸獎、教育奉獻獎及資深優良教師表揚大會，陽明山中山樓（台北市北投區陽明路二段15號）。
	二、政黨社團：","2021"
"9月28日","-9時，總統蔡英文出席「世界台灣商會聯合總會第27屆年會暨第3次理監事聯席會議」開幕典禮，圓山大飯店12樓大會廳（臺北市中山北路四段1號）。","2021"
"9月28日","-10時，總統蔡英文接見「國際同濟會台灣總會理監事首席及全國十大傑出農業專家」，總統府。","2021"
"9月28日","-11時30分，民進黨主席蔡英文出席「民進黨創黨35周年餐會」，台北圓山大飯店敦睦廳（台北市中山區中山北路四段1號）。","2021"
"9月28日","-9時，經濟部次長曾文生陪同總統蔡英文出席「世界台灣商會聯合總會第27屆年會暨第3次理監事聯席會議」開幕典禮，圓山大飯店（台北市中山區中山北路四段1號）。","2021"
"9月29日","-15時30分，總統蔡英文、副總統賴清德出席「OUR HEROES 台灣英雄勇者無懼」活動，總統府。
	二、政黨社團：","2021"
"9月30日","-7時15分，總統蔡英文施打疫苗，台大醫學院體育館（臺北市中正區仁愛路一段1號）。","2021"
"9月30日","-9時30分，總統蔡英文、內政部長徐國勇出席「國家住都中心社會住宅」開工動土典禮，國家住都中心社會住宅建築預定地（新北市板橋區華江三路、稚匯公園對面）。","2021"
"10月4日","-10時，總統蔡英文接見「社團法人中華民國牙醫師公會全國聯合會重要代表」，總統府。
	二、國會：","2021"
"10月5日","-19時，總統蔡英文出席「110年國慶總統府建築光雕展演」，總統府府前廣場。
	二、政黨社團：","2021"
"10月7日","-9時30分，總統蔡英文頒授法國參議院友臺小組李察主席「特種大綬卿雲勳章」，總統府9時30分，行政院會，行政院。","2021"
"10月7日","-11時，總統蔡英文接見澳洲前總理艾伯特，總統府11時，外交部線上記者會。","2021"
"10月8日","-9時，總統蔡英文出席「2021玉山論壇：亞洲創新與進步對話」開幕式，台北美福大飯店2樓宴會廳（台北市中山區樂群二路55號）。","2021"
"10月8日","-10時5分，總統蔡英文視導「航特部國慶操演飛行部隊」。","2021"
"10月9日","-18時25分，總統蔡英文出席「2021民主大聯盟 世界加好友」國慶晚會，新竹空軍基地（新竹市北區中正路699號）。","2021"
"10月10日","-9時27分，副總統賴清德陪同總統蔡英文出席「中華民國110年國慶外賓致賀」，總統府。","2021"
"10月10日","-10時18分，副總統賴清德陪同總統蔡英文出席「中華民國中樞暨各界慶祝110年國慶大會」，總統府府前廣場。","2021"
"10月10日","-10時20分，總統蔡英文出席「中華民國中樞暨各界慶祝110年國慶大會」，總統府府前廣場。","2021"
"10月10日","-19時30分，總統蔡英文出席「110年國慶焰火在高雄」，高雄港蓬萊商號7號碼頭。
	二、政黨社團：","2021"
"10月13日","-10時，總統蔡英文出席「涓滴守護 韌性台灣-表揚水利傑出貢獻人員及團體典禮」，台北國際會議中心1樓101室（台北市信義區信義路5段1號）。","2021"
"10月15日","-10時，總統蔡英文出席「是方電訊LY2智慧機房興建工程動土祈福典禮」，是方電訊公司（台北市內湖區舊宗路一段189號旁基地）。","2021"
"10月16日","-12時5分，高雄市長陳其邁陪同總統蔡英文前往高雄市立殯儀館拈香，市立殯儀館景行廳（三民區本館路600巷20號）。","2021"
"10月17日","-16時，總統蔡英文出席「『百年追求 世紀之約』台灣文化協會一百年紀念會」，中山堂2樓光復廳（台北市中正區延平南路98號）。","2021"
"10月17日","-16時，「百年追求‧世紀之約」台灣文化協會一百年紀念會（總統蔡英文、文化部長李永得出席），台北市中山堂光復廳（台北市中正區延平南路98號）。","2021"
"10月19日","-10時，總統蔡英文出席「國家新創品牌NEXT BIG發表會」，臺北101大樓4樓國際會議中心（臺北市信義區信義路五段7號）。","2021"
"10月23日","-11時，總統蔡英文出席「開陽能源公司麥寮天機太陽能電廠落成啟用典禮」，開陽能源公司麥寮廠（雲林縣麥寮鄉崙後村沙崙後226之111號）。","2021"
"10月23日","-14時，總統蔡英文頒贈「總統府前國策顧問、長榮大學董事長楊四海先生褒揚令」，屏東縣棒球場前廣場（屏東市復興路422號）。","2021"
"10月25日","-10時，總統蔡英文接見「110年全國特優清潔隊員及推動清潔隊職安衛優良人員」，總統府10時，行政院長蘇貞昌出席「淡江大橋及其連絡道路2K+606~5K+000段新建工程主線」通車典禮，台61線八里一交流道高架橋上，請於商港九路與臨港大道轉角沿指引進入匝道。
	二、政黨社團：","2021"
"10月26日","-18時25分，總統蔡英文出席「台灣玉山科技協會20周年慶祝大會」，臺北國際會議中心3樓宴會廳（臺北市信義區信義路5段1號）。
	二、 政黨社團：","2021"
"10月28日","-11時，總統蔡英文接見「110年中華民國優良商人、優良外國駐臺商務單位、優良外商、優良台灣老店暨在地特色老店、創新菁英老店得獎人」，總統府。","2021"
"10月29日","-15時，總統蔡英文接見「第31屆醫療奉獻獎得獎人及家屬」，總統府18時20分，總統蔡英文出席「2021新竹光臨藝術節」，光臨藝術節活動區（新竹市北區中正路156號）。","2021"
"10月30日","-9時20分，總統蔡英文出席「台北科技大學創校110年校慶典禮」，台北科技大學（台北市大安區忠孝東路三段1號）。","2021"
